TYPE,STATUS,"PO CREATION DATE","SHIP DATE","WHSE DATE","CUT #",FACTORY,STYLE,SESON,COLOR,"CUT ORD","CUT RECVD","CUT BALNC","CUT/INTRANSIT QTY","ETA DATE",CUSTOMER,"ORD #","CUSTPO #","EARLIEST START DATE","ORD QTY"
DOMESTIC,R,06-15-2015,08-20-2015,09-16-2015,,"SH GLOBAL",SV-JKT-001,,BLK,240,240,0,,,,,,,
DOMESTIC,R,07-30-2015,07-30-2015,07-30-2015,0017700201-2,"SAMPLE VENDOR",HA-WB-130PPK,,DKW,12,12,0,,,,,,,
DOMESTIC,R,07-30-2015,07-30-2015,07-30-2015,0017700201-2,"SAMPLE VENDOR",HA-WB-136PPK,,IIW,12,12,0,,,,,,,
DOMESTIC,R,07-30-2015,07-30-2015,07-30-2015,0017700201-2,"SAMPLE VENDOR",HA-WB-138PPK,,DKW,8,8,0,,,,,,,
DOMESTIC,R,07-30-2015,07-30-2015,07-30-2015,0017700201-2,"SAMPLE VENDOR",HA-WB-142PPK,,IIW,12,12,0,,,,,,,
DOMESTIC,R,07-30-2015,07-30-2015,07-30-2015,0017700201-2,"SAMPLE VENDOR",HA-WT-022PPK,,DKW,12,12,0,,,,,,,
DOMESTIC,C,12-09-2014,01-10-2015,01-30-2015,"137995 & 98","DOLLAR APPAREL TRADING HOUSE",HA-KT-066,,WRN,1728,0,1728,,,,,,,
DOMESTIC,C,12-09-2014,01-10-2015,01-30-2015,"137995 & 98","DOLLAR APPAREL TRADING HOUSE",HA-KT-072,,WHT,1440,0,1440,,,,,,,
DOMESTIC,C,12-09-2014,01-10-2015,01-30-2015,"137995 & 98","DOLLAR APPAREL TRADING HOUSE",HA-KT-076,,WHT,1992,0,1992,,,,,,,
DOMESTIC,R,08-25-2015,08-25-2015,09-10-2015,139284,"ELJAY SHANGHAI(P) LTD",DEC-JKT-055,,IND,3114,3114,0,,,,,,,
DOMESTIC,R,08-25-2015,08-25-2015,09-10-2015,139284,"ELJAY SHANGHAI(P) LTD",DEC-JKT-058,,BLK,2208,2208,0,,,,,,,
DOMESTIC,R,08-25-2015,08-25-2015,09-10-2015,139284,"ELJAY SHANGHAI(P) LTD",DEC-JKT-058,,OLIVE,1572,1572,0,,,,,,,
DOMESTIC,R,09-14-2015,09-14-2015,09-14-2015,139284-85,"SAMPLE VENDOR",DEC-JKT-058,,BLK,432,432,0,,,,,,,
DOMESTIC,R,09-14-2015,09-14-2015,09-14-2015,139284-85,"SAMPLE VENDOR",DEC-JKT-058,,OLIVE,282,282,0,,,,,,,
DOMESTIC,R,09-14-2015,09-14-2015,09-14-2015,139284-85,"SAMPLE VENDOR",DEC-JKT-060,,GRAPHITE,1536,1536,0,,,,,,,
